,letter,mean base 8,mean base 32,mean base 64
0,C,0.5326375626632811,0.5878832247169217,0.5885568150907419
1,F,0.416030979509284,0.551619281087016,0.5557705848363568
2,Q,0.5131935553681604,0.5091410137376623,0.4869774093860017
3,AA,0.4663120592435479,0.513142366046546,0.5135204176885317
4,B,0.6664252668668426,0.6685815835877368,0.6718583030737626
5,J,0.6412518293448254,0.6435568749077732,0.6538603655188847
6,M,0.6581046923171129,0.6512315115205509,0.6601769599227059
7,V,0.6419695515677213,0.6383952918410166,0.6464277181515282
8,A,0.7956649412068477,0.7847248965669656,0.7958076532596202
9,G,0.7759497457504215,0.7833615810480897,0.8017651815959284
10,N,0.7929336346596941,0.800480781533754,0.8065120302619068
11,T,0.795661971220219,0.7754758253044476,0.791914420944608
12,W,0.8055755347446543,0.7998079479545128,0.8086740184147136
13,Y,0.7922781977864027,0.7951568816246747,0.8135962785602422
14,AB,0.7974389413101749,0.7931647606475971,0.8029666041731567
15,AD,0.7924539627374773,0.7787272354081471,0.777827771146112
